year,month,day,date,date_start,date_end,location,count,count_type,method,age_class,pct_juvenile,sample_size,activity,direction,banding_new,banding_recapture,band_recoveries,source_page,ocr_confidence,notes
1964,4,1,1964-04-01,,,Izembek Bay,40000,estimate,aerial,mixed,,,staging,arriving,,,,13,medium,"Spring staging: 'migration was in full swing by the first of April with the largest numbers (about 40,000) then in Izembek Bay and the remainder in Nelson Lagoon and Herendeen Bay'"
1964,5,19,1964-05-19,,,Izembek Range,98000,census,aerial,mixed,,,staging,,,,,13,high,"Spring peak: '98,000 brant tallied on the Izembek Range May 19th'. This was reported as 'the peak for the spring flight.'"
1964,5,28,1964-05-28,,,Bristol Bay (edge of ice),53000,census,aerial,mixed,,,migrating,departing,,,,12,high,"Northbound migrants at ice edge: '53,000 brant with large numbers still in Izembek Bay'. Birds at southern limits of ice, moving as water opened."
1964,5,28,1964-05-28,,,Izembek Bay,,observation,visual_estimate,mixed,,,staging,,,,,13,medium,"'large numbers still in Izembek Bay' concurrent with the 53,000 at ice edge. Exact count unavailable; airplane not available to determine percentage remaining."
1964,5,31,1964-05-31,,,Izembek Bay,,observation,visual_estimate,mixed,,,staging,departing,,,,13,high,'By the end of May all but a few stragglers were gone from Izembek Bay and the bulk of them were waiting for spring at the edge of the ice.'
1964,9,17,1964-09-17,,,Half Way Pt.,2226,census,telescope,mixed,14.38,2226,staging,,,,,17,high,"Age-ratio: Adult=1906, Juv=320, Total=2226, %Juv=14.38. [Note: Juv count read as 320 based on math verification; image shows possible 302]"
1964,9,25,1964-09-25,,,Left of Outer Marker,1045,census,telescope,mixed,31.29,1045,staging,,,,,17,high,"Age-ratio: Adult=718, Juv=327, Total=1045, %Juv=31.29. Math verified."
1964,9,29,1964-09-29,,,Applegate Cove,1900,census,telescope,mixed,22.42,1900,staging,,,,,17,high,"Age-ratio: Adult=1474, Juv=426, Total=1900, %Juv=22.42. Math verified."
1964,10,9,1964-10-09,,,Operl Island,156,census,telescope,mixed,,156,staging,,,,,17,medium,"Age-ratio: Adult=86, Juv=70. 'Operl Island' - name uncertain, may be local placename"
1964,10,11,1964-10-11,,,Operl Island,515,census,telescope,mixed,,515,staging,,,,,17,medium,"Age-ratio: Adult=378, Juv=137"
