"lat","lon","value","id"
33.9300620160997,-116.987783162692,1627,"P1"
34.330644108355,-117.322234209534,1344,"P2"
34.0271815374494,-117.411138416594,828,"P3"
34.4064139232039,-116.80974137974,1625,"P4"
34.4523738274351,-117.385300141503,876,"P5"
33.7364451995119,-117.295498204115,529,"P6"
34.1224843904376,-117.575087757991,1087,"P7"
34.4139352355152,-117.48995856524,944,"P8"
34.1411480115727,-118.008428446599,1575,"P9"
34.0652917882428,-118.24990679957,627,"P10"
34.4654666762799,-116.862858804688,1742,"P11"
34.0626673249528,-116.966091623297,2707,"P12"
34.2420565083623,-117.325801026681,1666,"P13"
34.1581067215651,-117.147705389932,2860,"P14"
33.7823397461325,-118.458156736335,647,"P15"
34.4198599763215,-117.687746849144,1310,"P16"
33.8968701874837,-117.210618786211,1398,"P17"
33.7336476268247,-118.132106509083,458,"P18"
33.9623365754262,-117.959092287021,753,"P19"
34.4636029193178,-118.1062361649,1778,"P20"
