"SourceFile","GPSLatitude","GPSLatitudeRef","GPSLongitude","GPSLongitudeRef","Location"
"Test_Photos/R5_02070_adj_crop_denoise_nik.jpg",19.4249397910506,"N",155.278679757977,"W","Kilauea Overlook"
"Test_Photos/A1207040_adj_crop_denoise_nik.jpg",19.4242984696179,"N",155.2856802452,"W","Kilauea Overlook"
"Test_Photos/A1207042_adj_crop_denoise_nik.jpg",19.4243313698975,"N",155.285794138956,"W","Kilauea Overlook"
"Test_Photos/A1207102_adj_crop_denoise_sharp_nik.jpg",19.4243400278658,"N",155.285824110997,"W","Kilauea Overlook"
"Test_Photos/A1207104_adj_crop_denoise_nik.jpg",19.4243404607642,"N",155.285825609599,"W","Kilauea Overlook"
"Test_Photos/A1207111_adj_crop_denoise_sharp_nik.jpg",19.4243417594595,"N",155.285830105405,"W","Kilauea Overlook"
"Test_Photos/A1208761_adj_crop_denise_sharp_nik.jpg",19.408105288159,"N",155.257317932325,"W","Devastation Parking Lot"
"Test_Photos/A1208890_adj_crop_denoise_sharp_nik.jpg",19.4113346321089,"N",155.25746896344,"W","Devastation Parking Lot"
"Test_Photos/A1208899_adj_crop_denoise_sharp_nik.jpg",19.4113446300778,"N",155.257469431029,"W","Devastation Parking Lot"
"Test_Photos/A1208940_adj.jpg",19.4114246138289,"N",155.257473171737,"W","Devastation Parking Lot"
"Test_Photos/A1208980_adj_crop_denoise_sharp_nik.jpg",19.4131742583838,"N",155.257554999741,"W","Devastation Parking Lot"
"Test_Photos/A1209329_adj_crop_denoise_aharp.jpg",19.430125232732,"N",155.268787815206,"W","Steaming Bluff"
"Test_Photos/A1209430_addj_crop_denoise_sharp_nik.jpg",19.430315878125,"N",155.269763807813,"W","Steaming Bluff"
"Test_Photos/A1209443_adj_crop_denoise_sharp_nik.jpg",19.4303165221875,"N",155.269767004219,"W","Steaming Bluff"
"Test_Photos/A1209701_adj_crop_denoise_sharp_nik.jpg",19.4322452271264,"N",155.273595071494,"W","Kilauea Military Camp"
"Test_Photos/A1209720_adj_crop_denoise_sharp_nik.jpg",19.4322649770115,"N",155.273628391954,"W","Kilauea Military Camp"
"Test_Photos/A1209794_adj_crop_denoise_sharp_nik.jpg",19.4323044767816,"N",155.273695032874,"W","Kilauea Military Camp"
