"key","scientificName","recordedBy","recordNumber","year","eventDate","stateProvince","locality","verbatimLocality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","elevation","verbatimElevation","habitat","occurrenceRemarks","fieldNotes","dynamicProperties","reproductiveCondition","associatedTaxa","identifiedBy","dateIdentified","typeStatus","preparations","institutionCode","collectionCode"
"4167905306","Metrosideros polymorpha Gaudich.","D. Percy","Hi4",2003,"2003-08-14","Hawaii","near snail enclosure, Pahole NAR, Wainaea Mtns",NA,21.5372,-158.192,NA,700,NA,"Ridge top",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167908355","Metrosideros polymorpha var. incana (H.Lév.) Skottsb.","D. Percy","Hi34",2003,"2003-08-21","Hawaii","Hawaii Volcanoes National Park, Kipuka Puaulu (Bird Park)",NA,19.4372,-155.303,NA,1225,NA,"Lava field",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167909302","Metrosideros polymorpha Gaudich.","D. Percy","Hi52",2003,"2003-08-26","Hawaii","Mt. Kaala, summit area, Waianae Mtns.",NA,21.5083,-158.144,NA,1239,NA,"Ridge top",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167909306","Metrosideros polymorpha Gaudich.","D. Percy","Hi43",2003,"2003-08-24","Hawaii","Hawaii Volcanoes National Park, Ola'a Forest, north of Volcano Village",NA,19.4603,-155.247,NA,1185,NA,"Forest",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167911334","Metrosideros polymorpha Gaudich.","D. Percy","Hi41",2003,"2003-08-23","Hawaii","Kipahoehoe Natural Area Reserve, at 93 mile marker",NA,19.2669,-155.875,NA,418,NA,"Dry forest",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167913310","Metrosideros polymorpha Gaudich.","D. Percy","Hi19",2003,"2003-08-16","Hawaii","Wiliwilinui Ridge, Ko'olau Mtns.",NA,21.3164,-157.76,NA,515,NA,"Ridge top",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167914326","Metrosideros polymorpha var. incana (H.Lév.) Skottsb.","D. Percy","Hi42",2003,"2003-08-23","Hawaii","Kipahoehoe Natural Area Reserve, at 91 mile marker",NA,19.2467,-155.878,NA,475,NA,"Dry forest",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167915318","Metrosideros polymorpha Gaudich.","D. Percy","Hi1",2003,"2003-08-13","Hawaii","Aiea Ridge Trail, Ko'olau Mtns",NA,21.5372,-157.882,NA,500,NA,"Ridge top.",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167916356","Metrosideros polymorpha Gaudich.","D. Percy","Hi53",2003,"2003-08-26","Hawaii","Mt. Kaala, summit area, Waianae Mtns.",NA,21.5083,-158.144,NA,1239,NA,"Ridge top",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167917318","Metrosideros tremuloides (A.Heller) Knuth","D. Percy","Hi18",2003,"2003-08-16","Hawaii","Wiliwilinui Ridge, Ko'olau Mtns.",NA,21.3164,-157.76,NA,515,NA,"Ridge top",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4167917321","Metrosideros polymorpha Gaudich.","D. Percy","Hi36",2003,"2003-08-21","Hawaii","Hawaii Volcanoes National Park, entrance to Ola'a Forest at Solid Waste Dump",NA,19.4497,-155.204,NA,1001,NA,"Forest",NA,NA,NA,NA,NA,"Percy, D. M.",NA,NA,NA,"US","US"
"4909560371","Metrosideros polymorpha Gaudich.","D. Percy","Hi1",2003,"2003-08-13","Hawaii","Aiea Ridge Trail, Ko'olau Mtns",NA,21.5372,-157.882,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US","US"
